23:11:52 | INFO    | phase1                 | Phase 1 configuration: Phase1Config(sample_fps=5.0, max_frames_per_clip=0, min_detection_confidence=0.4, use_mesh_for_pose=True, max_subject_jump_ratio=1.5, output_size=224, desired_left_eye_x=0.35, desired_eye_y=0.38, image_format='png', jpeg_quality=95, save_normalized_npy=False, norm_mean=(0.485, 0.456, 0.406), norm_std=(0.229, 0.224, 0.225), blur_var_reference=150.0, max_head_deviation_deg=60.0, max_flow_magnitude_px=8.0, eye_bbox_margin=0.25, weights=MRSWeights(blur=1.0, face_visibility=1.0, head_rotation=1.0, eye_visibility=1.0, motion_consistency=1.0), mrs_threshold=0.5, low_retention_warn_ratio=0.3, workers=1, splits=('Train', 'Validation', 'Test'), video_extensions=('.avi', '.mp4', '.mov', '.mkv', '.webm'), limit_clips=0, overwrite=True)
23:13:02 | INFO    | phase1                 | [55/108] Train\111003\1110031003
23:13:04 | INFO    | phase1                 | Train/111003/1110031003: 50 sampled, 50 retained (100%), mean MRS 0.870 -> mrs_scores.parquet
23:13:04 | INFO    | phase1                 | [56/108] Train\111003\1110031007
23:13:05 | INFO    | phase1                 | Train/111003/1110031007: 50 sampled, 50 retained (100%), mean MRS 0.824 -> mrs_scores.parquet
23:13:05 | INFO    | phase1                 | [57/108] Train\111003\1110031010
23:13:06 | INFO    | phase1                 | Train/111003/1110031010: 50 sampled, 50 retained (100%), mean MRS 0.782 -> mrs_scores.parquet
23:13:06 | INFO    | phase1                 | [58/108] Train\111003\1110031011
23:13:08 | INFO    | phase1                 | Train/111003/1110031011: 50 sampled, 50 retained (100%), mean MRS 0.776 -> mrs_scores.parquet
23:13:08 | INFO    | phase1                 | [59/108] Train\111003\1110031012
23:13:09 | INFO    | phase1                 | Train/111003/1110031012: 50 sampled, 50 retained (100%), mean MRS 0.762 -> mrs_scores.parquet
23:13:09 | INFO    | phase1                 | [60/108] Train\111003\1110031014
23:13:10 | INFO    | phase1                 | Train/111003/1110031014: 50 sampled, 50 retained (100%), mean MRS 0.801 -> mrs_scores.parquet
23:13:10 | INFO    | phase1                 | [61/108] Train\111003\1110031019
23:13:12 | INFO    | phase1                 | Train/111003/1110031019: 50 sampled, 50 retained (100%), mean MRS 0.794 -> mrs_scores.parquet
23:13:12 | INFO    | phase1                 | [62/108] Train\111003\1110031020
23:13:13 | INFO    | phase1                 | Train/111003/1110031020: 50 sampled, 50 retained (100%), mean MRS 0.764 -> mrs_scores.parquet
23:13:13 | INFO    | phase1                 | [63/108] Train\111003\1110031021
23:13:14 | INFO    | phase1                 | Train/111003/1110031021: 50 sampled, 50 retained (100%), mean MRS 0.733 -> mrs_scores.parquet
23:13:14 | INFO    | phase1                 | [64/108] Train\111003\1110031025
23:13:16 | INFO    | phase1                 | Train/111003/1110031025: 50 sampled, 49 retained (98%), mean MRS 0.616 -> mrs_scores.parquet
23:13:16 | INFO    | phase1                 | [65/108] Train\111003\1110031027
23:13:17 | INFO    | phase1                 | Train/111003/1110031027: 50 sampled, 50 retained (100%), mean MRS 0.681 -> mrs_scores.parquet
23:13:17 | INFO    | phase1                 | [66/108] Train\111003\1110031031
23:13:18 | INFO    | phase1                 | Train/111003/1110031031: 50 sampled, 50 retained (100%), mean MRS 0.797 -> mrs_scores.parquet
23:13:18 | INFO    | phase1                 | [67/108] Train\111003\1110031033
23:13:20 | INFO    | phase1                 | Train/111003/1110031033: 50 sampled, 50 retained (100%), mean MRS 0.782 -> mrs_scores.parquet
23:13:20 | INFO    | phase1                 | [68/108] Train\111003\1110031037
23:13:21 | INFO    | phase1                 | Train/111003/1110031037: 50 sampled, 50 retained (100%), mean MRS 0.775 -> mrs_scores.parquet
23:13:21 | INFO    | phase1                 | [69/108] Train\111003\1110031038
23:13:22 | INFO    | phase1                 | Train/111003/1110031038: 50 sampled, 50 retained (100%), mean MRS 0.739 -> mrs_scores.parquet
23:13:22 | INFO    | phase1                 | [70/108] Train\111003\1110031039
23:13:23 | INFO    | phase1                 | Train/111003/1110031039: 50 sampled, 50 retained (100%), mean MRS 0.721 -> mrs_scores.parquet
23:13:23 | INFO    | phase1                 | [71/108] Train\111003\1110031040
23:13:25 | INFO    | phase1                 | Train/111003/1110031040: 50 sampled, 50 retained (100%), mean MRS 0.794 -> mrs_scores.parquet
23:13:25 | INFO    | phase1                 | [72/108] Train\111003\1110031063
23:13:26 | INFO    | phase1                 | Train/111003/1110031063: 50 sampled, 50 retained (100%), mean MRS 0.784 -> mrs_scores.parquet
23:13:26 | INFO    | phase1                 | [73/108] Validation\400022\4000221001
23:13:27 | INFO    | phase1                 | Validation/400022/4000221001: 50 sampled, 50 retained (100%), mean MRS 0.926 -> mrs_scores.parquet
23:13:27 | INFO    | phase1                 | [74/108] Validation\400022\4000221002
23:13:29 | INFO    | phase1                 | Validation/400022/4000221002: 50 sampled, 50 retained (100%), mean MRS 0.936 -> mrs_scores.parquet
23:13:29 | INFO    | phase1                 | [75/108] Validation\400022\4000221006
23:13:30 | INFO    | phase1                 | Validation/400022/4000221006: 50 sampled, 50 retained (100%), mean MRS 0.933 -> mrs_scores.parquet
23:13:30 | INFO    | phase1                 | [76/108] Validation\400022\4000221008
23:13:31 | INFO    | phase1                 | Validation/400022/4000221008: 50 sampled, 50 retained (100%), mean MRS 0.871 -> mrs_scores.parquet
23:13:31 | INFO    | phase1                 | [77/108] Validation\400022\4000221009
23:13:33 | INFO    | phase1                 | Validation/400022/4000221009: 50 sampled, 50 retained (100%), mean MRS 0.898 -> mrs_scores.parquet
23:13:33 | INFO    | phase1                 | [78/108] Validation\400022\4000221010
23:13:34 | INFO    | phase1                 | Validation/400022/4000221010: 50 sampled, 50 retained (100%), mean MRS 0.906 -> mrs_scores.parquet
23:13:34 | INFO    | phase1                 | [79/108] Validation\400022\4000221011
23:13:35 | INFO    | phase1                 | Validation/400022/4000221011: 50 sampled, 50 retained (100%), mean MRS 0.920 -> mrs_scores.parquet
23:13:35 | INFO    | phase1                 | [80/108] Validation\400022\4000221013
23:13:36 | INFO    | phase1                 | Validation/400022/4000221013: 50 sampled, 50 retained (100%), mean MRS 0.922 -> mrs_scores.parquet
23:13:36 | INFO    | phase1                 | [81/108] Validation\400022\4000221014
23:13:38 | INFO    | phase1                 | Validation/400022/4000221014: 50 sampled, 50 retained (100%), mean MRS 0.907 -> mrs_scores.parquet
23:13:38 | INFO    | phase1                 | [82/108] Validation\400022\4000221015
23:13:39 | INFO    | phase1                 | Validation/400022/4000221015: 50 sampled, 50 retained (100%), mean MRS 0.913 -> mrs_scores.parquet
23:13:39 | INFO    | phase1                 | [83/108] Validation\400022\4000221016
23:13:40 | INFO    | phase1                 | Validation/400022/4000221016: 50 sampled, 50 retained (100%), mean MRS 0.915 -> mrs_scores.parquet
23:13:40 | INFO    | phase1                 | [84/108] Validation\400022\4000221040
23:13:42 | INFO    | phase1                 | Validation/400022/4000221040: 50 sampled, 50 retained (100%), mean MRS 0.869 -> mrs_scores.parquet
23:13:42 | INFO    | phase1                 | [85/108] Validation\400022\4000221042
23:13:43 | INFO    | phase1                 | Validation/400022/4000221042: 50 sampled, 50 retained (100%), mean MRS 0.898 -> mrs_scores.parquet
23:13:43 | INFO    | phase1                 | [86/108] Validation\400022\4000222031
23:13:44 | INFO    | phase1                 | Validation/400022/4000222031: 50 sampled, 50 retained (100%), mean MRS 0.856 -> mrs_scores.parquet
23:13:44 | INFO    | phase1                 | [87/108] Validation\400022\4000222032
23:13:45 | INFO    | phase1                 | Validation/400022/4000222032: 50 sampled, 50 retained (100%), mean MRS 0.857 -> mrs_scores.parquet
23:13:45 | INFO    | phase1                 | [88/108] Validation\400022\4000222068
23:13:47 | INFO    | phase1                 | Validation/400022/4000222068: 50 sampled, 50 retained (100%), mean MRS 0.860 -> mrs_scores.parquet
23:13:47 | INFO    | phase1                 | [89/108] Validation\410019\4100191012
23:13:48 | INFO    | phase1                 | Validation/410019/4100191012: 50 sampled, 50 retained (100%), mean MRS 0.880 -> mrs_scores.parquet
23:13:48 | INFO    | phase1                 | [90/108] Validation\410019\4100192029
23:13:49 | INFO    | phase1                 | Validation/410019/4100192029: 50 sampled, 50 retained (100%), mean MRS 0.899 -> mrs_scores.parquet
23:13:49 | INFO    | phase1                 | [91/108] Validation\556463\5564630110
23:13:51 | INFO    | phase1                 | Validation/556463/5564630110: 50 sampled, 50 retained (100%), mean MRS 0.869 -> mrs_scores.parquet
23:13:51 | INFO    | phase1                 | [92/108] Validation\556463\5564630112
23:13:52 | INFO    | phase1                 | Validation/556463/5564630112: 50 sampled, 50 retained (100%), mean MRS 0.895 -> mrs_scores.parquet
23:13:52 | INFO    | phase1                 | [93/108] Validation\556463\5564630115
23:13:53 | INFO    | phase1                 | Validation/556463/5564630115: 50 sampled, 50 retained (100%), mean MRS 0.846 -> mrs_scores.parquet
23:13:53 | INFO    | phase1                 | [94/108] Validation\556463\5564630117
23:13:54 | INFO    | phase1                 | Validation/556463/5564630117: 50 sampled, 50 retained (100%), mean MRS 0.907 -> mrs_scores.parquet
23:13:54 | INFO    | phase1                 | [95/108] Validation\556463\556463012
23:13:56 | INFO    | phase1                 | Validation/556463/556463012: 50 sampled, 50 retained (100%), mean MRS 0.893 -> mrs_scores.parquet
23:13:56 | INFO    | phase1                 | [96/108] Validation\556463\5564630121
23:13:57 | INFO    | phase1                 | Validation/556463/5564630121: 50 sampled, 50 retained (100%), mean MRS 0.910 -> mrs_scores.parquet
23:13:57 | INFO    | phase1                 | [97/108] Validation\556463\5564630122
23:13:58 | INFO    | phase1                 | Validation/556463/5564630122: 50 sampled, 50 retained (100%), mean MRS 0.843 -> mrs_scores.parquet
23:13:58 | INFO    | phase1                 | [98/108] Validation\556463\5564630123
23:14:00 | INFO    | phase1                 | Validation/556463/5564630123: 50 sampled, 50 retained (100%), mean MRS 0.804 -> mrs_scores.parquet
23:14:00 | INFO    | phase1                 | [99/108] Validation\556463\5564630126
23:14:01 | INFO    | phase1                 | Validation/556463/5564630126: 50 sampled, 50 retained (100%), mean MRS 0.793 -> mrs_scores.parquet
23:14:01 | INFO    | phase1                 | [100/108] Validation\556463\5564630127
23:14:02 | INFO    | phase1                 | Validation/556463/5564630127: 50 sampled, 50 retained (100%), mean MRS 0.872 -> mrs_scores.parquet
23:14:02 | INFO    | phase1                 | [101/108] Validation\556463\5564630128
23:14:03 | INFO    | phase1                 | Validation/556463/5564630128: 50 sampled, 50 retained (100%), mean MRS 0.893 -> mrs_scores.parquet
23:14:03 | INFO    | phase1                 | [102/108] Validation\556463\5564630130
23:14:05 | INFO    | phase1                 | Validation/556463/5564630130: 50 sampled, 50 retained (100%), mean MRS 0.866 -> mrs_scores.parquet
23:14:05 | INFO    | phase1                 | [103/108] Validation\556463\5564630132
23:14:06 | INFO    | phase1                 | Validation/556463/5564630132: 50 sampled, 50 retained (100%), mean MRS 0.879 -> mrs_scores.parquet
23:14:06 | INFO    | phase1                 | [104/108] Validation\556463\5564630163
23:14:07 | INFO    | phase1                 | Validation/556463/5564630163: 50 sampled, 50 retained (100%), mean MRS 0.810 -> mrs_scores.parquet
23:14:07 | INFO    | phase1                 | [105/108] Validation\556463\5564630211
23:14:09 | INFO    | phase1                 | Validation/556463/5564630211: 50 sampled, 50 retained (100%), mean MRS 0.814 -> mrs_scores.parquet
23:14:09 | INFO    | phase1                 | [106/108] Validation\556463\5564630233
23:14:10 | INFO    | phase1                 | Validation/556463/5564630233: 50 sampled, 50 retained (100%), mean MRS 0.835 -> mrs_scores.parquet
23:14:10 | INFO    | phase1                 | [107/108] Validation\567496\5674960225
23:14:11 | INFO    | phase1                 | Validation/567496/5674960225: 50 sampled, 50 retained (100%), mean MRS 0.885 -> mrs_scores.parquet
23:14:11 | INFO    | phase1                 | [108/108] Validation\567496\5674960234
23:14:13 | INFO    | phase1                 | Validation/567496/5674960234: 50 sampled, 50 retained (100%), mean MRS 0.868 -> mrs_scores.parquet
23:14:13 | INFO    | phase1                 | Manifest written: outputs\phase1_manifest.csv
23:14:13 | INFO    | phase1                 | No clips flagged; warnings log written empty: outputs\logs\phase1_warnings.csv
23:14:13 | INFO    | phase1                 | ==============================================================================
23:14:13 | INFO    | phase1                 | PHASE 1 SUMMARY
23:14:13 | INFO    | phase1                 |   clips processed        : 108
23:14:13 | INFO    | phase1                 |   clips ok               : 108
23:14:13 | INFO    | phase1                 |   frames sampled (total) : 5403
23:14:13 | INFO    | phase1                 |   frames retained (total): 5402
23:14:13 | INFO    | phase1                 |   overall retention      : 100.0%
23:14:13 | INFO    | phase1                 |   mean per-clip MRS      : 0.855
23:14:13 | INFO    | phase1                 |   Test       : 36 clips, 1803/1803 frames retained (100.0%), mean MRS 0.868
23:14:13 | INFO    | phase1                 |   Train      : 36 clips, 1799/1800 frames retained (99.9%), mean MRS 0.819
23:14:13 | INFO    | phase1                 |   Validation : 36 clips, 1800/1800 frames retained (100.0%), mean MRS 0.879
23:14:13 | INFO    | phase1                 | ==============================================================================
